ID,checking_balance,months_loan_duration,credit_history,purpose,amount,employment_length,installment_rate,personal_status,other_debtors,residence_history,property,age,installment_plan,housing,existing_credits,job,dependents,telephone,foreign_worker,default
1,< 0 $,6,critical,radio/tv,1169,> 7 yrs,4,single male,none,4,real estate,67,none,own,2,skilled employee,1,yes,yes,0
2,1 - 200 $,48,repaid,radio/tv,5951,1 - 4 yrs,2,female,none,2,real estate,22,none,own,1,skilled employee,1,none,yes,1
3,unknown,12,critical,education,2096,4 - 7 yrs,2,single male,none,3,real estate,49,none,own,1,unskilled resident,2,none,yes,0
4,< 0 $,42,repaid,furniture,7882,4 - 7 yrs,2,single male,guarantor,4,building society savings,45,none,for free,1,skilled employee,2,none,yes,0
5,< 0 $,24,delayed,car (new),4870,1 - 4 yrs,3,single male,none,4,unknown/none,53,none,for free,2,skilled employee,2,none,yes,1
6,unknown,36,repaid,education,9055,1 - 4 yrs,2,single male,none,4,unknown/none,35,none,for free,1,unskilled resident,2,yes,yes,0
7,unknown,24,repaid,furniture,2835,> 7 yrs,3,single male,none,4,building society savings,53,none,own,1,skilled employee,1,none,yes,0
8,1 - 200 $,36,repaid,car (used),6948,1 - 4 yrs,2,single male,none,2,other,35,none,rent,1,mangement self-employed,1,yes,yes,0
9,unknown,12,repaid,radio/tv,3059,4 - 7 yrs,2,divorced male,none,4,real estate,61,none,own,1,unskilled resident,1,none,yes,0
10,1 - 200 $,30,critical,car (new),5234,unemployed,4,married male,none,2,other,28,none,own,2,mangement self-employed,1,none,yes,1
11,1 - 200 $,12,repaid,car (new),1295,0 - 1 yrs,3,female,none,1,other,25,none,rent,1,skilled employee,1,none,yes,1
12,< 0 $,48,repaid,business,4308,0 - 1 yrs,3,female,none,4,building society savings,24,none,rent,1,skilled employee,1,none,yes,1
13,1 - 200 $,12,repaid,radio/tv,1567,1 - 4 yrs,1,female,none,1,other,22,none,own,1,skilled employee,1,yes,yes,0
14,< 0 $,24,critical,car (new),1199,> 7 yrs,4,single male,none,4,other,60,none,own,2,unskilled resident,1,none,yes,1
15,< 0 $,15,repaid,car (new),1403,1 - 4 yrs,2,female,none,4,other,28,none,rent,1,skilled employee,1,none,yes,0
16,< 0 $,24,repaid,radio/tv,1282,1 - 4 yrs,4,female,none,2,other,32,none,own,1,unskilled resident,1,none,yes,1
17,unknown,24,critical,radio/tv,2424,> 7 yrs,4,single male,none,4,building society savings,53,none,own,2,skilled employee,1,none,yes,0
18,< 0 $,30,fully repaid,business,8072,0 - 1 yrs,2,single male,none,3,other,25,bank,own,3,skilled employee,1,none,yes,0
19,1 - 200 $,24,repaid,car (used),12579,> 7 yrs,4,female,none,2,unknown/none,44,none,for free,1,mangement self-employed,1,yes,yes,1
